                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.8105,                 1.8931,                 1.7072,                 2.1652,                 0.7069,                0.55852,                0.60374,                0.32702,                0.28673,                0.14528,                0.10726,                0.02906,                 1.5605,                 1.4626,                 1.4781,                 2.1237,             0.00018231,             0.00018231,             0.00018231
                     69,                 1.8064,                 1.8804,                 1.7377,                 2.1796,                0.65516,                0.59231,                0.61793,                0.33152,                0.33259,                0.15215,                0.11307,                0.02476,                  1.571,                 1.4631,                 1.4205,                  2.145,              0.0001771,              0.0001771,              0.0001771
                     70,                 1.7405,                 1.8639,                  1.608,                 2.1092,                0.67218,                 0.5751,                0.63472,                0.34899,                0.35985,                 0.1482,                0.11979,                0.02869,                 1.5217,                 1.4746,                 1.4236,                 2.1347,              0.0001719,              0.0001719,              0.0001719
                     71,                 1.7426,                 1.8108,                 1.6244,                 2.1135,                0.56427,                0.61699,                0.60426,                0.34318,                0.37687,                0.15872,                0.12709,                0.03332,                  1.508,                 1.4359,                 1.4177,                 2.1102,             0.00016669,             0.00016669,             0.00016669
                     72,                 1.7475,                 1.8643,                 1.6397,                 2.1151,                0.53832,                0.62121,                0.60396,                0.33995,                0.17755,                0.15015,                 0.0928,                0.02243,                 1.5223,                 1.4655,                 1.4287,                 2.0987,             0.00016148,             0.00016148,             0.00016148
                     73,                 1.7647,                 1.8619,                 1.6966,                 2.1522,                 0.6303,                0.60342,                0.61477,                0.34684,                0.30415,                0.15358,                0.10263,                0.03065,                 1.5044,                 1.4244,                 1.4166,                 2.0783,             0.00015627,             0.00015627,             0.00015627
                     74,                 1.7504,                 1.8114,                  1.637,                  2.105,                0.62226,                0.60399,                0.62652,                0.34746,                0.20726,                0.17237,                0.10075,                0.02813,                 1.4972,                 1.4171,                 1.4114,                 2.0565,             0.00015107,             0.00015107,             0.00015107
                     75,                 1.7627,                  1.922,                 1.6509,                 2.1026,                0.65284,                0.61503,                0.62297,                0.34435,                0.19766,                0.18743,                 0.1024,                0.02621,                 1.5288,                 1.4318,                 1.4263,                  2.081,             0.00014586,             0.00014586,             0.00014586
                     76,                 1.7422,                  1.861,                 1.5897,                 2.0775,                0.73617,                0.60216,                0.63194,                0.36392,                0.17264,                0.18107,                0.09778,                0.02639,                 1.4717,                 1.4245,                 1.3888,                 2.0466,             0.00014065,             0.00014065,             0.00014065
                     77,                  1.688,                  1.823,                 1.5599,                 2.0623,                0.72794,                0.58545,                0.63046,                0.36665,                0.19564,                0.18304,                0.11315,                0.03032,                 1.4551,                 1.4134,                 1.3788,                 2.0339,             0.00013544,             0.00013544,             0.00013544
                     78,                 1.6722,                 1.8127,                 1.5818,                 2.0655,                0.68745,                0.61361,                0.62168,                0.35389,                 0.1792,                0.19086,                0.12519,                0.03489,                 1.5121,                 1.3939,                 1.3834,                 2.0561,             0.00013024,             0.00013024,             0.00013024
                     79,                 1.6891,                  1.803,                 1.5907,                 2.0632,                0.73404,                0.58844,                0.64675,                0.37728,                0.18316,                0.18337,                 0.1092,                0.03152,                 1.4387,                 1.3895,                 1.3557,                 2.0071,             0.00012503,             0.00012503,             0.00012503
                     80,                 1.7081,                 1.8573,                 1.6038,                  2.084,                0.63961,                0.65385,                  0.657,                0.37638,                0.19212,                0.18458,                0.11177,                0.02818,                 1.4582,                 1.4305,                 1.3538,                 2.0333,             0.00011982,             0.00011982,             0.00011982
                     81,                 1.6279,                 1.7318,                 1.5268,                 2.0386,                0.70491,                0.60663,                0.65051,                0.37403,                0.19186,                0.19831,                0.11887,                0.03245,                 1.4408,                 1.3945,                  1.333,                 2.0314,             0.00011462,             0.00011462,             0.00011462
                     82,                  1.673,                 1.8081,                 1.5461,                 2.0475,                0.63136,                 0.6394,                0.63701,                0.36697,                0.16476,                0.19773,                0.11284,                0.03031,                 1.4104,                 1.4177,                 1.3396,                 2.0096,             0.00010941,             0.00010941,             0.00010941
                     83,                 1.6707,                 1.7967,                 1.5258,                 2.0579,                0.69064,                0.59629,                0.63314,                0.36667,                0.17655,                0.20531,                0.11325,                 0.0302,                 1.4104,                 1.4002,                 1.3495,                 1.9974,              0.0001042,              0.0001042,              0.0001042
                     84,                  1.631,                 1.7775,                 1.5373,                 2.0225,                0.76685,                0.59074,                0.65556,                0.37606,                 0.2128,                  0.198,                0.12409,                0.03676,                 1.4226,                 1.3735,                 1.3188,                 2.0009,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     85,                 1.6735,                 1.7838,                 1.5353,                 2.0409,                0.75826,                0.59848,                0.64842,                0.38203,                0.22825,                0.18908,                0.13464,                0.03766,                 1.3979,                 1.3945,                 1.3189,                 1.9944,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     86,                 1.6423,                 1.7765,                 1.5069,                  2.029,                0.62395,                0.64082,                0.63459,                0.37436,                0.21566,                0.18533,                0.13284,                0.03981,                 1.3994,                 1.3742,                 1.3165,                  1.991,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     87,                 1.6525,                 1.7757,                 1.5039,                 2.0169,                0.67956,                0.62837,                0.65439,                0.38071,                0.21033,                0.19588,                 0.1324,                0.03858,                 1.4132,                 1.3676,                  1.321,                 1.9928,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     88,                 1.6104,                 1.7179,                 1.5009,                 2.0077,                0.64634,                0.62025,                0.64412,                 0.3772,                0.22806,                0.19895,                0.13745,                0.03874,                 1.4047,                 1.3827,                 1.3236,                 1.9921,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     89,                 1.6006,                 1.7458,                 1.5071,                 1.9925,                0.70533,                0.61833,                0.66441,                0.39336,                0.22557,                0.19064,                0.13301,                0.04013,                 1.3902,                 1.3609,                 1.3011,                 1.9717,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     90,                 1.6627,                 1.7845,                 1.5742,                 2.0384,                0.68795,                0.62776,                0.66795,                 0.3956,                0.22316,                0.19251,                  0.125,                0.03801,                 1.3885,                 1.3489,                 1.2912,                 1.9604,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     91,                 1.6642,                 1.5794,                  1.781,                 2.1228,                0.71378,                0.61297,                0.66151,                 0.3855,                0.21834,                0.19781,                0.12418,                0.03848,                 1.4094,                 1.3568,                 1.2926,                 1.9675,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     92,                 1.5191,                 1.5208,                 1.6512,                 2.0167,                0.72865,                0.60984,                0.64643,                0.35418,                0.19846,                0.17107,                0.11395,                0.03247,                 1.5425,                 1.3794,                 1.3403,                 2.0351,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     93,                 1.5037,                 1.5117,                   1.58,                 1.9906,                0.72179,                0.60507,                0.63007,                  0.352,                0.19333,                0.18416,                0.10559,                0.02522,                 1.4956,                 1.4061,                 1.3677,                  2.009,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     94,                 1.4402,                 1.4707,                 1.5187,                  1.963,                0.70344,                0.59908,                0.62649,                0.34813,                0.17505,                0.18598,                0.09026,                0.02045,                 1.4659,                 1.4295,                 1.3903,                 1.9971,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     95,                 1.4391,                 1.4571,                 1.5012,                 1.9752,                0.71366,                0.59894,                0.63096,                0.35351,                0.16294,                0.17632,                0.09786,                0.02257,                 1.4495,                 1.3956,                 1.3802,                 1.9822,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     96,                 1.4414,                 1.5098,                 1.4913,                  1.943,                0.71616,                0.60582,                0.64874,                0.37853,                 0.1726,                0.19811,                0.10626,                0.02722,                 1.3937,                 1.3636,                 1.3293,                 1.9513,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     97,                 1.4213,                  1.486,                 1.4846,                  1.939,                0.73289,                 0.6119,                0.65805,                0.38752,                0.18904,                0.20384,                0.11394,                0.03142,                 1.3835,                 1.3588,                 1.3152,                 1.9493,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     98,                 1.4384,                 1.4817,                 1.4822,                 1.9427,                0.76563,                0.63452,                0.66091,                0.39073,                0.20018,                0.20568,                0.12182,                0.03344,                  1.385,                 1.3527,                 1.3015,                 1.9467,              2.609e-05,              2.609e-05,              2.609e-05
                     99,                 1.4073,                 1.4347,                 1.4475,                 1.9361,                 0.7468,                0.62345,                0.66146,                0.39437,                0.20801,                0.21408,                0.13037,                0.03584,                 1.3696,                 1.3423,                  1.289,                 1.9321,             2.0882e-05,             2.0882e-05,             2.0882e-05
                    100,                 1.4167,                 1.4643,                 1.4676,                  1.943,                0.75029,                0.62918,                0.67506,                0.40658,                0.22296,                0.22249,                0.15618,                0.04451,                 1.3568,                 1.3291,                 1.2817,                  1.919,             1.5675e-05,             1.5675e-05,             1.5675e-05
